Building,Room,Printer name
Fine Arts,215,BL_STC_FA215_MFP1
Forest Quad,199,BL_STC_FR199_MFP1
Forest Quad,236,BL_STC_FR236_MFP1
Franklin Hall,103,BL_STC_FF103_MFP1
Franklin Hall,73,BL_STC_FFH073_MFP1
Geological Sciences,2999,BL_STC_GY2999_MFP1
Global & International Studies Building,99,BL_STC_GA099_MFP1
Godfrey Grad & Exec Ed Ctr,20,BL_STC_CG0020_MFP1
Godfrey Grad & Exec Ed Ctr,1022,BL_STC_CG1022_MFP1
Godfrey Grad & Exec Ed Ctr,1050,BL_STC_CG1050_MFP1
Godfrey Grad & Exec Ed Ctr,2065,BL_STC_CG2065_MFP1
Gresham Dining Hall,102A,BL_STC_GR102A_MFP1
Griggs Lounge,101,BL_STC_GG101_MFP1
Harper Hall,199,BL_STC_HQC199_MFP1
Hodge Hall (Business School),1999,BL_STC_HH1999_MFP1
Hodge Hall (Business School),199G,BL_STC_HH199G_MFP1
Hodge Hall (Business School),2999,BL_STC_HH2999_MFP1
Hodge Hall (Business School),3999,BL_STC_HH3999_MFP1
Hodge Hall (Business School),4999,BL_STC_HH4999_MFP1
Hodge Hall (Business School),736,BL_STC_HH736_MFP1
Hutton Honors College,112,BL_STC_HU112_MFP1
IN Memorial Union,89,BL_STC_UB089_MFP1
IN Memorial Union,98,BL_STC_UB098_MFP1
IN Memorial Union,173,BL_STC_UB173_MFP1
IN Memorial Union,271,BL_UPRN_UB271_MFP1
IN Memorial Union,327,BL_UPRN_UB327_MFP1
IN Memorial Union,L001,BL_UPRN_UBL001_MFP1
IN Memorial Union,M088,BL_UPRN_UBM088_MFP1
IU Student Health Center,C3119,BL_UPRN_HCC3119_MFP1
Kirkwood Hall,99,BL_STC_KH099_MFP1
Lee Norvelle Theatre Drama/ Neal&Mars,A220,BL_STC_THA220_MFP1
LGBTQ+ Culture Center,100,BL_UPRN_DX100_MFP1
Lindley Hall,30,BL_STC_LH030_MFP1
Lindley Hall,230,BL_UPRN_LH230_MFP1
Luddy Center for AI,1048,BL_UPRN_LU1048_MFP1
Luddy Center for AI,1048F,BL_UPRN_LU1048F_MFP1
Luddy Center for AI,2056,BL_UPRN_LU2056_MFP1
Luddy Center for AI,2056,BL_UPRN_LU2056_MFP2
Luddy Center for AI,3056,BL_UPRN_LU3056_MFP1
Luddy Center for AI,3056,BL_UPRN_LU3056_MFP2
Luddy Hall,1,BL_UPRN_IF0001_MFP1
Luddy Hall,1,BL_UPRN_IF0001_MFP2
Luddy Hall,1,BL_UPRN_IF0001_MFP3
Luddy Hall,1,BL_UPRN_IF0001_MFP4
Luddy Hall,1029,BL_UPRN_IF1029_MFP1
Luddy Hall,1116,BL_UPRN_IF1116_MFP1
Luddy Hall,1116,BL_UPRN_IF1116_MFP2
Luddy Hall,1999,BL_UPRN_IF1999_MFP2
Luddy Hall,1999B,BL_UPRN_IF1999B_MFP1
Luddy Hall,2033,BL_UPRN_IF2033_MFP1
Luddy Hall,2052,BL_UPRN_IF2052_MFP1
Luddy Hall,2062,BL_UPRN_IF2062_MFP1
Luddy Hall,2062,BL_UPRN_IF2062_MFP2
Luddy Hall,2115,BL_UPRN_IF2115_MFP1
Luddy Hall,2115,BL_UPRN_IF2115_MFP2
Luddy Hall,2143,BL_UPRN_IF2143_MFP1
Luddy Hall,2143,BL_UPRN_IF2143_MFP2
Luddy Hall,2150,BL_UPRN_IF2150_MFP2
Luddy Hall,2999A,BL_UPRN_IF2999A_MFP1
Luddy Hall,3033,BL_UPRN_IF3033_MFP1
Luddy Hall,3051,BL_UPRN_IF3051_MFP1
Luddy Hall,3118,BL_UPRN_IF3118_MFP1
Luddy Hall,3140,BL_UPRN_IF3140_MFP2
Luddy Hall,3150,BL_UPRN_IF3150_MFP1
Luddy Hall,3999A,BL_UPRN_IF3999A_MFP1
Luddy Hall,4025,BL_UPRN_IF4025_MFP1
Luddy Hall,4040,BL_UPRN_IF4040_MFP2
Luddy Hall,4053,BL_UPRN_IF4053_MFP1
Luddy Hall,4143,BL_UPRN_IF4143_MFP1
Luddy Hall,4150,BL_UPRN_IF4150_MFP2
Magee Hall,D001,BL_STC_RUD001_MFP1
McNutt Central,C006,BL_UPRN_MNC006_MFP1
McNutt Central,26,BL_UPRN_MNC026_MFP1
McNutt Central,199,BL_UPRN_MNC199_MFP1
McNutt Central,299,BL_UPRN_MNC299_MFP1
Medical Research & Library,100,IN_LIBM_STC_IB100_MFP1
Medical Research & Library,1005B,IN_UPRN_HA1005B_MFP1
Medical Research & Library,207,IN_LIBM_STC_IB207_MFP1
Medical Research & Library,303,IN_LIBM_STC_IB303_MFP1
Medical Research & Library,2003,IN_UPRN_HA2003_MFP1
Medical Research & Library,2008,IN_UPRN_HA2008_MFP1
Medical Research & Library,2027D,IN_UPRN_HA2027D_MFP1
Medical Research & Library,3030L,IN_UPRN_HA3030L_MFP1
Medical Research & Library,3008,IN_UPRN_HA3008_MFP1
Medical Research & Library,5036,IN_UPRN_HA5036_MFP1
Medical Research & Library,6060,IN_UPRN_HA6060_MFP1
Medical Research & Library,7062,IN_UPRN_HA7062_MFP1
Memorial Hall,25,BL_STC_MMA025_MFP1
Merrill Hall,99,BL_STC_MU099_MFP1
MESH Storage,3,BL_UPRN_BL608D-03_MFP1
MESH Storage,03A,BL_UPRN_BL608D-03A_MFP1
Multi Science 2,279,BL_UPRN_S2279_MFP1
Multidisciplinary Eng And Sci Hall-MESH,050C,BL_UPRN_CY050C_MFP1
Multidisciplinary Eng And Sci Hall-MESH,199F,BL_UPRN_CY199F_MFP1
Myers Hall,199F,BL_UPRN_MY199F_MFP1
Myers Hall,309,BL_UPRN_MY309_MFP1
Myles Brand Hall,100,BL_UPRN_I100_MFP1
Myles Brand Hall,219,BL_UPRN_I219_MFP1
Myles Brand Hall,307,BL_UPRN_I307_MFP1
Myles Brand Hall,399,BL_UPRN_I399_MFP1
Northwest Plaza,103,BL_UPRN_NP103_MFP1
Owen Hall,2,BL_UPRN_OW002_MFP1
Owen Hall,112,BL_UPRN_OW112_MFP1
Owen Hall,201,BL_UPRN_OW201_MFP1
Owen Hall,305F,BL_UPRN_OW305F_MFP1
Radio-TV,299,BL_STC_TV299_MFP1
Radio-TV,316,BL_UPRN_TV316_MFP1
Raintree Hall,121,BL_UPRN_RH121_MFP1
Read Hall,15,BL_STC_RE015_MFP1
Read Hall,199,BL_STC_RE199_MFP1
School of Public Health,199,BL_STC_PH199_MFP1
School of Public Health,199B,BL_STC_PH199B_MFP2
School Of Public Health,25,BL_UPRN_PH025_MFP1
School Of Public Health,99,BL_UPRN_PH099_MFP1
School Of Public Health,116,BL_UPRN_PH116_MFP1
School Of Public Health,121,BL_UPRN_PH121_MFP1
School Of Public Health,131,BL_UPRN_PH131_MFP1
School Of Public Health,173,BL_UPRN_PH173_MFP1
School Of Public Health,179,BL_UPRN_PH179_MFP1
School Of Public Health,1791,BL_UPRN_PH1791_MFP1
School Of Public Health,1792,BL_UPRN_PH1792_MFP1
School Of Public Health,199L,BL_UPRN_PH199L_MFP1
Simon Hall (Science),300,BL_UPRN_SI300_MFP1
Simon Music Library,360,BL_STC_SM360_MFP1
Smith Hall,A012,BL_STC_S8A012_MFP1
Social Research,203,BL_UPRN_S7203_MFP1
Social Research,315,BL_UPRN_S7315_MFP1
SPEA,199B,BL_STC_PV199B_MFP1
SPEA,199B,BL_STC_PV199B_MFP2
SPEA,199,BL_STC_PY199_MFP1
SPEA,199P,BL_STC_PY199P_MFP1
SPEA,A209,BL_STC_SPEA_PVA209_MFP2
Spruce Hall,113,BL_STC_RA113_MFP1
Student Building (Frances Morgan Swain),222,BL_STC_SB222_MFP1
Student Building (Frances Morgan Swain),210,BL_UPRN_SB210_MFP1
Student Recreational Sports Center,115,BL_UPRN_RB115_MFP1
Swain West,118,BL_STC_SW118_MFP1
Swain West,058A,BL_UPRN_SW058A_MFP1
Swain West,207,BL_UPRN_SW207_MFP1
Swain West,236,BL_UPRN_SW236_MFP1
Swain West,261,BL_UPRN_SW261_MFP1
Swain West,340,BL_UPRN_SW340_MFP1
Teter Quad,F120,BL_STC_TEF120_MFP1
Teter Quad,F138,BL_UPRN_TEF138_MFP1
Teter Quad,F138,BL_UPRN_TEF138_MFP2
The Health Sciences Building,C1000D,BL_STC_AHC1000D_MFP1
The Health Sciences Building,C200A,BL_STC_AHC200A_MFP1
The Health Sciences Building,C2122,BL_UPRN_AHC2122_BW1
Tulip Tree Apartments,102,BL_STC_TT102_MFP
University Apartments East,20,BL_STC_UE020_MFP1
Wells Library,100,BL_STC_LI100_MFP1
Wells Library,112,BL_STC_LI112_MFP1
Wells Library,137,BL_STC_LI137_MFP1
Wells Library,199,BL_STC_LI199_MFP1
Wells Library,199,BL_STC_LI199_MFP2
Wells Library,201,BL_STC_LI201_MFP1
Wells Library,201,BL_STC_LI201_MFP2
Wells Library,401,BL_STC_LI401_MFP1
Wells Library,401,BL_STC_LI401_MFP2
Wells Library,502,BL_STC_LI502_MFP1
Wells Library,305,BL_UPRN_LI305_MFP1
Wendell W. Wright Education Building,5,BL_UPRN_ED0005_MFP1
Wendell W. Wright Education Building,1020,BL_UPRN_ED1020_MFP1
Wendell W. Wright Education Building,1077,BL_UPRN_ED1077_MFP1
Wendell W. Wright Education Building,1160,BL_STC_ED1160_MFP1
Wendell W. Wright Education Building,2011,BL_STC_ED2011_MFP1
Wendell W. Wright Education Building,2100,BL_UPRN_ED2100_MFP1
Wendell W. Wright Education Building,2101,BL_UPRN_ED2101_MFP1
Wendell W. Wright Education Building,2252,BL_UPRN_ED2252_MFP1
Wendell W. Wright Education Building,3008,BL_UPRN_ED3008_MFP1
Wendell W. Wright Education Building,3048,BL_UPRN_ED3048_MFP1
Wendell W. Wright Education Building,3099M,BL_UPRN_ED3099M_MFP1
Wendell W. Wright Education Building,3136,BL_UPRN_ED3136_MFP1
Wendell W. Wright Education Building,4015,BL_UPRN_ED4015_MFP1
Wendell W. Wright Education Building,4025,BL_UPRN_ED4025_MFP1
Wendell W. Wright Education Building,4114,BL_UPRN_ED4114_MFP1
Wendell W. Wright Education Building,4152,BL_UPRN_ED4152_MFP1
Wendell W. Wright Education Building,4215,BL_UPRN_ED4215_MFP1
Wendell W. Wright Education Building,4235,BL_UPRN_ED4235_MFP1
Willkie C,100,BL_STC_WI100_MFP1
Willkie North,199,BL_STC_WN199_MFP1
Willkie North,199,BL_STC_WNB199_MFP1
Woodburn Hall,211,BL_STC_WH211_MFP1
Woodburn Hall,210K,BL_UPRN_WH210K_MFP1
Woodburn Hall,300,BL_UPRN_WH300_MFP1
Woodburn Hall,399G,BL_UPRN_WH399G_MFP1
Woodburn Hall,400,BL_UPRN_WH400_MFP1
Wright Quad,2,BL_STC_WT002_MFP1
Wright Quad,3,BL_STC_WT003_MFP1
Wright Quad,A105,BL_UPRN_WTA105_MFP1
Wright Quad,AFB50,BL_UPRN_WTAFB50_MFP1
Wright Quad,C199L,BL_UPRN_WTC199L_MFP1
Wright Quad,C200,BL_UPRN_WTC200_MFP1
Wylie Hall,125,BL_STC_WY125_MFP1
