Building,Room,Printer name,Campus,lat,lng
School of Public Health,199,BL_STC_PH199_MFP1,Bloomington,39.169976,-86.52130269999999
School of Public Health,199B,BL_STC_PH199B_MFP2,Bloomington,39.169976,-86.52130269999999
School Of Public Health,25,BL_UPRN_PH025_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,99,BL_UPRN_PH099_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,116,BL_UPRN_PH116_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,121,BL_UPRN_PH121_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,131,BL_UPRN_PH131_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,173,BL_UPRN_PH173_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,179,BL_UPRN_PH179_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,1791,BL_UPRN_PH1791_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,1792,BL_UPRN_PH1792_MFP1,Bloomington,39.169976,-86.52130269999999
School Of Public Health,199L,BL_UPRN_PH199L_MFP1,Bloomington,39.169976,-86.52130269999999
Simon Hall (Science),300,BL_UPRN_SI300_MFP1,Bloomington,39.1651539,-86.5222015
Simon Music Library,360,BL_STC_SM360_MFP1,Bloomington,39.1649526,-86.5174547
Smith Hall,A012,BL_STC_S8A012_MFP1,Bloomington,39.1707359,-86.52397619999999
Social Research,203,BL_UPRN_S7203_MFP1,Bloomington,39.1682449,-86.52300729999999
Social Research,315,BL_UPRN_S7315_MFP1,Bloomington,39.1682449,-86.52300729999999
SPEA,199B,BL_STC_PV199B_MFP1,Bloomington,39.1725608,-86.5177669
SPEA,199B,BL_STC_PV199B_MFP2,Bloomington,39.1725608,-86.5177669
SPEA,199,BL_STC_PY199_MFP1,Bloomington,39.1725608,-86.5177669
SPEA,199P,BL_STC_PY199P_MFP1,Bloomington,39.1725608,-86.5177669
